Dummy	0	Empty
ID_PRODUCT_NAME	0xff00	Star Wars Battlefront II
ID_PRODUCT_CHARSET	0xff04	DEFAULT_CHARSET
ID_PRODUCT_LANGUAGE	0xfff0	USA
ID_LANG_BASE	0xfff1	0009
